date, pm25, pm10, o3, no2, so2, co
2018/03/05,55,29,14,10,19,-1
2018/03/06,62,31,9,9,24,-1
2018/03/07,65,44,13,12,32,-1
2018/03/08,87,42,8,12,51,-1
2018/03/09,96,65,18,20,42,-1
2018/03/10,127,75,31,22,39,-1
2018/03/11,156,89,29,26,65,-1
2018/03/12,167,58,21,12,23,-1
2018/03/13,124,48,14,10,-1,-1
2018/03/14,95,42,14,9,-1,-1
2018/03/15,89,42,11,9,-1,-1
2018/03/16,88,30,12,8,-1,-1
2018/03/17,74,24,12,6,-1,-1
2018/03/18,68,26,10,7,-1,-1
2018/03/19,66,37,19,10,-1,-1
2018/03/20,83,41,14,12,-1,-1
2018/03/21,86,48,19,16,-1,-1
2018/03/22,112,60,25,14,-1,-1
2018/03/23,138,67,26,19,-1,-1
2018/03/24,143,58,20,13,-1,-1
2018/03/25,124,56,15,11,-1,-1
2018/03/26,101,58,19,17,-1,-1
2018/03/27,123,51,13,10,-1,-1
2018/03/28,101,46,14,10,-1,-1
2018/03/29,91,54,13,9,-1,-1
2018/03/30,95,52,10,14,-1,-1
2018/03/31,102,60,12,18,-1,-1
2018/04/01,124,58,16,17,-1,-1
2018/04/02,123,55,30,17,-1,-1
2018/04/03,120,47,14,10,-1,-1
2018/04/04,91,55,16,11,-1,-1
2018/04/05,97,60,28,13,-1,-1
2018/04/06,123,30,15,9,-1,-1
2018/04/07,65,45,25,14,-1,-1
2018/04/08,83,69,28,22,1,-1
2018/04/09,121,73,39,24,2,-1
2018/04/10,141,48,23,9,1,-1
2018/04/11,90,36,16,6,-1,-1
2018/04/12,67,31,14,5,1,-1
2018/04/13,66,30,14,4,-1,-1
2018/04/14,68,29,14,5,1,-1
2018/04/15,66,36,27,8,1,-1
2018/04/16,81,28,11,11,-1,-1
2018/04/17,62,44,37,16,1,-1
2018/04/18,87,33,22,10,1,-1
2018/04/19,73,33,13,7,1,-1
2018/04/20,67,34,15,7,1,-1
2018/04/21,72,29,13,5,1,-1
2018/04/22,63,42,28,9,1,-1
2018/04/23,83,36,14,7,1,-1
2018/04/24,75,45,14,10,1,-1
2018/04/25,84,38,10,11,1,-1
