date, pm25
4/8/2018,0.154362416
5/8/2018,0.154362416
6/8/2018,0.187919463
7/8/2018,0.241610738
8/8/2018,0.288590604
9/8/2018,0.22147651
10/8/2018,0.201342282
11/8/2018,0.120805369
12/8/2018,0.093959732
13/8/2018,0.167785235
14/8/2018,0.147651007
15/8/2018,0.134228188
16/8/2018,0.167785235
17/8/2018,0.120805369
18/8/2018,0.026845638
19/8/2018,0.033557047
20/8/2018,0.134228188
21/8/2018,0.281879195
22/8/2018,0.268456376
23/8/2018,0.281879195
24/8/2018,0.201342282
25/8/2018,0.147651007
26/8/2018,0.134228188
27/8/2018,0.134228188
28/8/2018,0.228187919
29/8/2018,0.288590604
30/8/2018,0.10738255
31/8/2018,0.134228188
1/9/2018,0.194630872
2/9/2018,0.167785235
3/9/2018,0.140939597
4/9/2018,0.087248322
5/9/2018,0.147651007
6/9/2018,0.187919463
7/9/2018,0.275167785
8/9/2018,0.308724832
9/9/2018,0.429530201
10/9/2018,0.44295302
11/9/2018,0.194630872
12/9/2018,0.248322148
13/9/2018,0.228187919
14/9/2018,0.187919463
15/9/2018,0.154362416
16/9/2018,0.167785235
17/9/2018,0.154362416
18/9/2018,0.100671141
19/9/2018,0.167785235
20/9/2018,0.308724832
21/9/2018,0.369127517
22/9/2018,0.322147651
23/9/2018,0.261744966
24/9/2018,0.281879195
25/9/2018,0.234899329
26/9/2018,0.154362416
27/9/2018,0.10738255
28/9/2018,0.214765101
29/9/2018,0.369127517
30/9/2018,0.154362416
1/10/2018,0.181208054
2/10/2018,0.281879195
3/10/2018,0.530201342
4/10/2018,0.510067114
5/10/2018,0.187919463
6/10/2018,0.275167785
7/10/2018,0.32885906
8/10/2018,0.402684564
9/10/2018,0.355704698
10/10/2018,0.44966443
11/10/2018,0.395973154
12/10/2018,0.234899329
13/10/2018,0.44966443
14/10/2018,0.375838926
15/10/2018,0.261744966
16/10/2018,0.187919463
17/10/2018,0.241610738
18/10/2018,0.295302013
19/10/2018,0.422818792
20/10/2018,0.322147651
21/10/2018,0.087248322
22/10/2018,0.181208054
23/10/2018,0.248322148
24/10/2018,0.302013423
25/10/2018,0.44966443
26/10/2018,0.315436242
27/10/2018,0.348993289
28/10/2018,0.22147651
29/10/2018,0.362416107
30/10/2018,0.355704698
31/10/2018,0.395973154
1/11/2018,0.516778523
2/11/2018,0.630872483
3/11/2018,0.697986577
4/11/2018,0.704697987
5/11/2018,0.691275168
6/11/2018,0.583892617
7/11/2018,0.409395973
8/11/2018,0.261744966
9/11/2018,0.268456376
10/11/2018,0.315436242
11/11/2018,0.315436242
12/11/2018,0.55033557
13/11/2018,0.711409396
14/11/2018,0.617449664
15/11/2018,0.66442953
16/11/2018,0.362416107
17/11/2018,0.322147651
18/11/2018,0.489932886
19/11/2018,0.563758389
20/11/2018,0.382550336
21/11/2018,0.516778523
22/11/2018,0.530201342
23/11/2018,0.409395973
24/11/2018,0.369127517
25/11/2018,0.530201342
26/11/2018,0.530201342
27/11/2018,0.44966443
28/11/2018,0.308724832
29/11/2018,0.476510067
30/11/2018,0.637583893
1/12/2018,0.637583893
2/12/2018,0.604026846
3/12/2018,0.496644295
4/12/2018,0.590604027
5/12/2018,0.483221477
6/12/2018,0.429530201
7/12/2018,0.597315436
8/12/2018,0.302013423
9/12/2018,0.389261745
10/12/2018,0.422818792
11/12/2018,0.496644295
12/12/2018,0.33557047
13/12/2018,0.32885906
14/12/2018,0.409395973
15/12/2018,0.44966443
16/12/2018,0.382550336
17/12/2018,0.355704698
18/12/2018,0.429530201
19/12/2018,0.691275168
20/12/2018,0.89261745
21/12/2018,0.906040268
22/12/2018,0.731543624
23/12/2018,0.724832215
24/12/2018,0.604026846
25/12/2018,0.718120805
26/12/2018,0.845637584
27/12/2018,0.818791946
28/12/2018,0.859060403
29/12/2018,0.422818792
30/12/2018,0.315436242
31/12/2018,-0.228187919
1/1/2019,0.315436242
2/1/2019,0.362416107
3/1/2019,0.375838926
4/1/2019,0.463087248
5/1/2019,0.55704698
6/1/2019,0.838926174
7/1/2019,0.845637584
8/1/2019,0.375838926
9/1/2019,0.389261745
10/1/2019,0.583892617
11/1/2019,0.926174497
12/1/2019,0.798657718
13/1/2019,0.791946309
14/1/2019,0.859060403
15/1/2019,0.751677852
16/1/2019,0.604026846
17/1/2019,0.684563758
18/1/2019,0.523489933
19/1/2019,0.731543624
20/1/2019,0.604026846
21/1/2019,0.832214765
22/1/2019,0.657718121
23/1/2019,0.67114094
24/1/2019,0.684563758
25/1/2019,0.865771812
26/1/2019,0.751677852
27/1/2019,0.677852349
28/1/2019,0.825503356
29/1/2019,0.879194631
30/1/2019,0.959731544
31/1/2019,0.89261745
1/2/2019,0.630872483
2/2/2019,0.543624161
3/2/2019,0.402684564
4/2/2019,0.436241611
5/2/2019,0.409395973
6/2/2019,0.288590604
7/2/2019,0.355704698
8/2/2019,0.348993289
9/2/2019,0.261744966
10/2/2019,0.308724832
11/2/2019,0.355704698
12/2/2019,0.44966443
13/2/2019,0.731543624
14/2/2019,0.375838926
15/2/2019,0.389261745
16/2/2019,0.322147651
17/2/2019,0.234899329
18/2/2019,0.214765101
19/2/2019,0.147651007
20/2/2019,0.174496644
21/2/2019,0.268456376
22/2/2019,0.194630872
23/2/2019,0.288590604
24/2/2019,0.275167785
25/2/2019,0.288590604
26/2/2019,0.302013423
27/2/2019,0.416107383
28/2/2019,0.469798658
1/3/2019,0.409395973
2/3/2019,0.44295302
3/3/2019,0.395973154
4/3/2019,0.308724832
5/3/2019,0.429530201
6/3/2019,0.44295302
7/3/2019,0.234899329
8/3/2019,0.281879195
9/3/2019,0.248322148
10/3/2019,0.234899329
11/3/2019,0.275167785
12/3/2019,0.55033557
13/3/2019,0.32885906
14/3/2019,0.255033557
15/3/2019,0.201342282
16/3/2019,0.44966443
17/3/2019,0.456375839
18/3/2019,0.503355705
19/3/2019,0.395973154
20/3/2019,0.375838926
21/3/2019,0.302013423
22/3/2019,0.469798658
23/3/2019,0.516778523
24/3/2019,0.416107383
25/3/2019,0.32885906
26/3/2019,0.288590604
27/3/2019,0.268456376
28/3/2019,0.295302013
29/3/2019,0.308724832
30/3/2019,0.315436242
31/3/2019,0.348993289
1/4/2019,0.302013423
2/4/2019,0.288590604
3/4/2019,0.295302013
4/4/2019,0.248322148
5/4/2019,0.194630872
6/4/2019,0.288590604
7/4/2019,0.201342282
8/4/2019,0.275167785
9/4/2019,0.187919463
10/4/2019,0.22147651
11/4/2019,0.22147651
12/4/2019,0.234899329
13/4/2019,0.22147651
14/4/2019,0.167785235
15/4/2019,0.161073826
16/4/2019,0.167785235
17/4/2019,0.228187919
18/4/2019,0.241610738
19/4/2019,0.261744966
20/4/2019,0.436241611
21/4/2019,0.476510067
22/4/2019,0.281879195
23/4/2019,0.275167785
24/4/2019,0.275167785
25/4/2019,0.322147651
26/4/2019,0.402684564
27/4/2019,0.422818792
28/4/2019,0.234899329
29/4/2019,0.167785235
30/4/2019,0.147651007
1/5/2019,0.11409396
2/5/2019,0.120805369
3/5/2019,0.181208054
4/5/2019,0.147651007
5/5/2019,0.10738255
6/5/2019,0.302013423
7/5/2019,0.429530201
8/5/2019,0.489932886
9/5/2019,0.483221477
10/5/2019,0.422818792
11/5/2019,0.429530201
12/5/2019,0.469798658
13/5/2019,0.308724832
14/5/2019,0.369127517
15/5/2019,0.503355705
16/5/2019,0.429530201
17/5/2019,0.362416107
18/5/2019,0.409395973
19/5/2019,0.33557047
20/5/2019,0.342281879
21/5/2019,0.322147651
22/5/2019,0.255033557
23/5/2019,0.228187919
24/5/2019,0.248322148
25/5/2019,0.275167785
